taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6194663	Anomiopsyllus nudatus hiemalis Eads & Menzies, 1948	6194663	Anomiopsyllus nudatus hiemalis Eads & Menzies, 1948	238	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Anomiopsyllus	1419119	Anomiopsyllus nudatus	1419125	
6194667	Nonnapsylla rothschildi wagneri Johnson, 1957	6194667	Nonnapsylla rothschildi wagneri Johnson, 1957	5	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stephanocircidae	5330	Nonnapsylla	1416341	Nonnapsylla rothschildi	1416342	
10106993	BOLD:ADD7761	10106993	BOLD:ADD7761	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus vison	8754081	
10703600	BOLD:ADW2118	10703600	BOLD:ADW2118	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Doratopsylla	1419226	Doratopsylla coreana	1419237	
1417519	Lagaropsylla micula Jordan & Rothschild, 1921	1417519	Lagaropsylla micula Jordan & Rothschild, 1921	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Lagaropsylla	1417505	Lagaropsylla micula	1417519	
1419120	Anomiopsyllus novomexicanensis Williams & Hoff, 1951	1419120	Anomiopsyllus novomexicanensis Williams & Hoff, 1951	20	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Anomiopsyllus	1419119	Anomiopsyllus novomexicanensis	1419120	
5050794	Ctenophthalmus spalacis Jordan & Rothschild, 1911	5050794	Ctenophthalmus spalacis Jordan & Rothschild, 1911	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus spalacis	5050794	
6194097	Leptopsylla aethiopica nakuruensis Smit, 1951	6194097	Leptopsylla aethiopica nakuruensis Smit, 1951	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Leptopsylla	1417652	Leptopsylla aethiopica	1417672	
6194468	Echidnophaga ambulans inepta M.Rothschild, 1936	6194468	Echidnophaga ambulans inepta M.Rothschild, 1936	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Echidnophaga	1419309	Echidnophaga ambulans	1419317	
9915211	BOLD:ACQ7506	9915211	BOLD:ACQ7506	11	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Neopsylla	1418659	Neopsylla paranoma	5051059	
