"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"NMNH600",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis) adocetus Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis","adocetus",NA,NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH601",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis) martinezbaezi Vargas, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis","martinezbaezi",NA,NA,NA,"Vargas, 1951",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH602",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis) vazquezi Vargas, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis","vazquezi",NA,NA,NA,"Vargas, 1951",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH603",NA,NA,NA,NA,NA,NA,NA,NA,"Euhoplopsyllus glacialis affinis (Baker, 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Euhoplopsyllus",NA,"glacialis","affinis",NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH604",NA,NA,NA,NA,NA,NA,NA,NA,"Euhoplopsyllus glacialis foxi (Ewing, 1924)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Euhoplopsyllus",NA,"glacialis","foxi",NA,NA,"Ewing, 1924",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH605",NA,NA,NA,NA,NA,NA,NA,NA,"Hoplopsyllus anomalus (Baker, 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Hoplopsyllus",NA,"anomalus",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH606",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex (Juxtapulex) porcinus Jordan & Rothschild, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Pulex","Juxtapulex","porcinus",NA,NA,NA,"Jordan & Rothschild, 1923",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH607",NA,NA,NA,NA,NA,NA,NA,NA,"Leptopsylla (Leptopsylla) algira agadirensis Hastriter & Tipton, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Leptopsyllidae","Leptopsylla","Leptopsylla","algira","agadirensis",NA,NA,"Hastriter & Tipton, 1975",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH608",NA,NA,NA,NA,NA,NA,NA,NA,"Caenopsylla mira Rothschild, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Leptopsyllidae","Caenopsylla",NA,"mira",NA,NA,NA,"Rothschild, 1909",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH609",NA,NA,NA,NA,NA,NA,NA,NA,"Leptopsylla tashenbergi amitina Jordan & Rothschild, 1914",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Leptopsyllidae","Leptopsylla",NA,"tashenbergi","amitina",NA,NA,"Jordan & Rothschild, 1914",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH610",NA,NA,NA,NA,NA,NA,NA,NA,"Leptopsylla (Leptopsylla) algira",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Leptopsyllidae","Leptopsylla","Leptopsylla","algira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH611",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Ctenophthalmus) andorrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Ctenophthalmus","andorrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH612",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Ctenophthalmus) andorrensis veletensis B. et al., 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Ctenophthalmus","andorrensis","veletensis",NA,NA,"B. et al., 1973",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH613",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla (Rhadinopsylla) masculana Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla","Rhadinopsylla","masculana",NA,NA,NA,"Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH614",NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia tripectinata insperata Weise, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Stenoponia",NA,"tripectinata","insperata",NA,NA,"Weise, 1930",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH615",NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia tripectinata megaera Jordan, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Stenoponia",NA,"tripectinata","megaera",NA,NA,"Jordan, 1958",NA,NA,NA,NA,NA,NA,NA,NA
