"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYU1282",NA,NA,NA,NA,NA,NA,NA,NA,"Dorcadia dorcadia (Rothschild 1912)",NA,NA,NA,NA,NA,1912,NA,NA,NA,NA,"Siphonaptera","Vermipsyllidae","Dorcadia",NA,"dorcadia",NA,NA,NA,"(Rothschild 1912)",NA,NA,NA,NA,NA,"Pulicomorpha","Vermipsylloidea  ",NA
"BYU1283",NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla dorippae (Rothschild 1904)",NA,NA,NA,NA,NA,1904,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Listropsylla",NA,"dorippae",NA,NA,NA,"(Rothschild 1904)",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Listropsyllinae"
"BYU1284",NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla draco Hopkins, 1951",NA,NA,NA,NA,NA,1951,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"draco",NA,NA,NA,"Hopkins, 1951",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae"
"BYU1285",NA,NA,NA,NA,NA,NA,NA,NA,"Medwayella dryadosa Traub, 1972",NA,NA,NA,NA,NA,1972,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Medwayella",NA,"dryadosa",NA,NA,NA,"Traub, 1972",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA
"BYU1286",NA,NA,NA,NA,NA,NA,NA,NA,"Myoxopsylla dryomydis Peus, 1977",NA,NA,NA,NA,NA,1977,NA,NA,NA,NA,"Siphonaptera","ceratophyllidae","Myoxopsylla",NA,"dryomydis",NA,NA,NA,"Peus, 1977",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1287",NA,NA,NA,NA,NA,NA,NA,NA,"Papuapsylla dubia Mardon, 1976",NA,NA,NA,NA,NA,1976,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Papuapsylla",NA,"dubia",NA,NA,NA,"Mardon, 1976",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA
"BYU1288",NA,NA,NA,NA,NA,NA,NA,NA,"Libyastus dubosti Beaucournu, 1967",NA,NA,NA,NA,NA,1967,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Libyastus",NA,"dubosti",NA,NA,NA,"Beaucournu, 1967",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1289",NA,NA,NA,NA,NA,NA,NA,NA,"Catallagia duffneri Lewis & Haas, 2001",NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Catallagia",NA,"duffneri",NA,NA,NA,"Lewis & Haas, 2001",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae"
"BYU1290",NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla duma Traub, 1944",NA,NA,NA,NA,NA,1944,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"duma",NA,NA,NA,"Traub, 1944",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae"
"BYU1291",NA,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla dumalis Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,1915,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Amphipsylla",NA,"dumalis",NA,NA,NA,"Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae"
