"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"GBIF1417003",1417003,NA,1416999,NA,NA,NA,NA,NA,"Megabothris obscurus Holland, 1949","Megabothris clantoni Hubbard, 1949",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Megabothris",NA,"obscurus",NA,"SPECIES",NA,"Holland, 1949",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417236",1417236,NA,1417236,NA,NA,NA,NA,NA,"Nosopsyllus K.Jordan, 1933","Nosopsyllus K.Jordan, 1933",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus",NA,"K.Jordan,",NA,"GENUS",NA,"1933",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418587",1418587,NA,1418587,NA,NA,NA,NA,NA,"Strepsylla davisae Traub & Johnson, 1952","Strepsylla davisae Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"davisae",NA,"SPECIES",NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419390",1419390,NA,1419390,NA,NA,NA,NA,NA,"Xenopsylla aequisetosa (Enderlein, 1901)","Xenopsylla aequisetosa (Enderlein, 1901)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"aequisetosa",NA,"SPECIES",NA,"Enderlein, 1901",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF10859342",10859342,NA,10859342,NA,NA,NA,NA,NA,"Ceratophyllus anisus","Ceratophyllus anisus",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"anisus",NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418906",1418906,NA,1418906,NA,NA,NA,NA,NA,"Megarthroglossus procus Jordan & Rothschild, 1915","Megarthroglossus procus Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Megarthroglossus",NA,"procus",NA,"SPECIES",NA,"Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419467",1419467,NA,1419467,NA,NA,NA,NA,NA,"Ctenocephalides paradoxuri Wagner, 1936","Ctenocephalides paradoxuri Wagner, 1936",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,"paradoxuri",NA,"SPECIES",NA,"Wagner, 1936",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419566",1419566,NA,1419566,NA,NA,NA,NA,NA,"Procaviopsylla divergens (Jordan & Rothschild, 1908)","Procaviopsylla divergens (Jordan & Rothschild, 1908)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Procaviopsylla",NA,"divergens",NA,"SPECIES",NA,"Jordan & Rothschild, 1908",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419652",1419652,NA,1419652,NA,NA,NA,NA,NA,"Notiopsylla kerguelensis (Taschenberg, 1880)","Notiopsylla kerguelensis (Taschenberg, 1880)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Notiopsylla",NA,"kerguelensis",NA,"SPECIES",NA,"Taschenberg, 1880",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF7198626",7198626,NA,7198626,NA,NA,NA,NA,NA,"Doratopsylla coreana coreana","Doratopsylla coreana coreana",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Doratopsylla",NA,"coreana","coreana","SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF7198661",7198661,NA,7198661,NA,NA,NA,NA,NA,"Myoxopsylla laverani laverani","Myoxopsylla laverani laverani",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Myoxopsylla",NA,"laverani","laverani","SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF10859569",10859569,NA,10859569,NA,NA,NA,NA,NA,"BOLD:ADW3455","BOLD:ADW3455",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,NA,NA,NA,"UNRANKED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417214",1417214,NA,1417214,NA,NA,NA,NA,NA,"Ceratophyllus diffinis Jordan, 1925","Ceratophyllus diffinis Jordan, 1925",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"diffinis",NA,"SPECIES",NA,"Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417540",1417540,NA,1417540,NA,NA,NA,NA,NA,"Hormopsylla trux Jordan, 1950","Hormopsylla trux Jordan, 1950",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Hormopsylla",NA,"trux",NA,"SPECIES",NA,"Jordan, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF7198707",7198707,NA,7198707,NA,NA,NA,NA,NA,"Sternopsylla distincta distincta","Sternopsylla distincta distincta",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Sternopsylla",NA,"distincta","distincta","SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF10043724",10043724,NA,10043724,NA,NA,NA,NA,NA,"BOLD:ADK7046","BOLD:ADK7046",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,NA,NA,NA,"UNRANKED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
