Order,Infraorder,Superfamily,FAMILY,SUBFAMILY,GENUS,SPECIES,subspecies,Author,YEAR,SYNONYM(S),,Fossil
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Macrostylophora,borneensis,,(Jordan),1926,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Dactylopsyllinae,Spicata,bottaceps,,(Hubbard),1943,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Agastopsylla,boxi,,,,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Polygenis,brachinus,,Jordan,1950,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Dinopsyllinae,Dinopsyllus,brachypecten,,Smit,1951,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Pulicinae,Echidnophaga,bradyta,,Jordan & Rothschild,1906,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Spilopsyllinae,Xenopsylla,brasiliensis,,(Baker),1904,"Loemosylla vigetus Rothschild, 1909",,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Parastivalius,brassi,,Holland,1969,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,breviatus,,Wagner & Ioff,1926,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllidae,Thaumapsyllinae,Thaumapsylla,breviceps,,Rothschild,1907,"Thaumapsylla breviceps orientalis Smit, 1954",,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Rhadinopsyllinae,Nearctopsylla,brevidigita,,"Wu, Wang & Liu",1965,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Palaeopsylla,brevifrontata,,"Zhang, Wu & Liu",1984,,,
