"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYUSYN119",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus gallinae dilatus Dudolkina, 1946","Ceratophyllus tribulis Jordan, 1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"gallinae","dilatus",NA,NA,"Dudolkina, 1946",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN122",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex hominis Dugès, 1832","Pulex irritans Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"hominis",NA,NA,NA,"Dugès, 1832",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN121",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex musculi Dugès, 1832","Leptopsylla segnis (Schönherr 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"musculi",NA,NA,NA,"Dugès, 1832",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN123",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis Dugès, 1832","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vespertilionis",NA,NA,NA,"Dugès, 1832",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN126",NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla hamiltoni Dunn, 1923","Rhadinopsylla fraterna (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla",NA,"hamiltoni",NA,NA,NA,"Dunn, 1923",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN125",NA,NA,NA,NA,NA,NA,NA,NA,"Micropsylla peromyscus Dunn, 1923","Rhadinopsylla sectilis Jordan & Rothschild, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micropsylla",NA,"peromyscus",NA,NA,NA,"Dunn, 1923",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN127",NA,NA,NA,NA,NA,NA,NA,NA,"Odontopsylla spenceri Dunn, 1923","Odontopsyllus dentatus (Baker 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontopsylla",NA,"spenceri",NA,NA,NA,"Dunn, 1923",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN128",NA,NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus coxi Eads, 1946","Rhopalopsyllus saevus (Jordan & Rothschild 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus",NA,"coxi",NA,NA,NA,"Eads, 1946",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN129",NA,NA,NA,NA,NA,NA,NA,NA,"Argopsylla Enderlein, 1903","Echidnophaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argopsylla",NA,NA,NA,NA,NA,"Enderlein, 1903",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN130",NA,NA,NA,NA,NA,NA,NA,NA,"Malacopsylla tolypeutis Enderlein, 1905","Malacopsylla grossiventris (Weyenbergh 1879)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malacopsylla",NA,"tolypeutis",NA,NA,NA,"Enderlein, 1905",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN131",NA,NA,NA,NA,NA,NA,NA,NA,"Rothschildella Enderlein, 1912","Rhopalopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rothschildella",NA,NA,NA,NA,NA,"Enderlein, 1912",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN141",NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943","Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Ewing & Fox",NA,NA,NA,"homonym","junior homonym of Trichopsylla Kolenati, 1863",NA,NA,NA
"BYUSYN132",NA,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla hadweni Ewing, 1927","Mioctenopsylla arctica Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla",NA,"hadweni",NA,NA,NA,"Ewing, 1927",NA,NA,NA,NA,NA,NA,NA,NA
